序号,subskill,分类,标题,请求方式,域名,外部接口,必填参数,全部参数,支持全量,适用场景,示例命令,文档路径
14,eastmoney-stock-valuation,A 股资金 / 估值 / 热度 / 短线,查询东财个股日估值,GET,https://market.ft.tech,/gateway/api/v1/market/data/eastmoney-stock-valuation,无,"symbol, trade_date, start_date, end_date, page, page_size, all",是,查询全部 A 股个股的每日估值数据，包括市盈率（TTM/LYR）、市净率、市现率、市销率、PEG、总市值、流通市值、收盘价等；支持单票单日、单票历史区间及全市场查询,python <RUN_PY> eastmoney-stock-valuation --symbol 000001 --page 1 --page_size 10,
15,eastmoney-us-stock-daily-ohlc,美股,查询东财美股历史日 K 线,GET,https://market.ft.tech,/gateway/api/v1/market/data/eastmoney-us-stock-daily-ohlc,--stock_code,"stock_code, start_date, end_date, page, page_size, all",是,查询东财美股历史日 K 线；有日期范围时按 3 天窗口分批请求，无日期范围时全量拉取,python <RUN_PY> eastmoney-us-stock-daily-ohlc --stock_code AAL --page 1 --page_size 10,
16,eastmoney-us-stock-latest-ohlc,美股,查询东财美股最新日 K 线,GET,https://market.ft.tech,/gateway/api/v1/market/data/eastmoney-us-stock-latest-ohlc,无,"stock_code, page, page_size, all",是,分页查询东财美股最新一根日 K 线（最后一行 OHLC）；可按股票代码过滤，不传则返回全部美股,python <RUN_PY> eastmoney-us-stock-latest-ohlc --stock_code ADV --page 1 --page_size 20,
17,eastmoney-us-stock-list,A 股基础 / 行情,查询东财美股列表,GET,https://market.ft.tech,/gateway/api/v1/market/data/eastmoney-us-stock-list,无,"page, page_size, all",是,获取东财美股全量列表（~5700+ 只），含代码、名称、市值、最新价、涨跌幅、市盈率等字段，支持服务端分页,python <RUN_PY> eastmoney-us-stock-list,
18,economic-china-cpi-monthly,宏观经济,居民消费价格指数（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-cpi,无,无,否,获取中国居民消费价格指数 CPI 月度汇总数据，含全国/城市/农村当月值及同比、环比等,python <RUN_PY> economic-china-cpi-monthly,
19,economic-china-credit-loans-monthly,宏观经济,信贷数据（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-credit-loans,无,无,否,获取中国信贷数据月度汇总，含新增信贷、同比、环比、当年累计及累计同比等,python <RUN_PY> economic-china-credit-loans-monthly,
20,economic-china-customs-trade-monthly,宏观经济,海关进出口增减情况（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-customs-trade,无,无,否,获取中国海关进出口月度数据，含出口/进口当月值、同比、环比及累计与累计同比等,python <RUN_PY> economic-china-customs-trade-monthly,
21,economic-china-fiscal-revenue-monthly,宏观经济,中国经济 - 财政收入（月度）,,https://market.ft.tech,,无,无,否,"Get China fiscal revenue monthly data (中国财政收入月度). Use when user asks about 中国财政收入, 财政收入月度, 财政收支, fiscal revenue, 当月同比环比, 累计财政收入.",python <RUN_PY> economic-china-fiscal-revenue-monthly,
22,economic-china-fixed-asset-investment-monthly,宏观经济,城镇固定资产投资（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-fixed-asset-investment,无,无,否,获取中国城镇固定资产投资月度数据，含本月投资、同比、环比、累计值等,python <RUN_PY> economic-china-fixed-asset-investment-monthly,
23,economic-china-forex-gold-monthly,宏观经济,外汇与黄金储备（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-forex-gold,无,无,否,获取中国国家外汇储备与黄金储备月度数据，含当月值、同比、环比等,python <RUN_PY> economic-china-forex-gold-monthly,
24,economic-china-gdp-quarterly,宏观经济,中国经济 - GDP（季度）,,https://market.ft.tech,,无,无,否,"Get China GDP quarterly data (中国 GDP 季度数据). Use when user asks about 中国 GDP, 季度 GDP, 三次产业, 中国经济 GDP, China GDP quarterly, GDP 同比, 第一二三产业.",python <RUN_PY> economic-china-gdp-quarterly,
25,economic-china-industrial-added-value-monthly,宏观经济,中国工业增加值增长（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-industrial-added-value,无,无,否,获取中国工业增加值月度数据，含同比增长、累计同比增长等,python <RUN_PY> economic-china-industrial-added-value-monthly,
26,economic-china-lpr-monthly,宏观经济,LPR 贷款市场报价利率（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-lpr,无,无,否,获取中国 LPR 1 年期与 5 年期利率按日期汇总数据,python <RUN_PY> economic-china-lpr-monthly,
27,economic-china-money-supply-monthly,宏观经济,货币供应量（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-money-supply,无,无,否,获取中国 M0、M1、M2 货币供应量月度数据，含当月值、同比、环比等,python <RUN_PY> economic-china-money-supply-monthly,
28,economic-china-pmi-monthly,宏观经济,PMI 数据（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-pmi,无,无,否,获取中国制造业与非制造业 PMI 月度数据，含当月值、同比、环比等,python <RUN_PY> economic-china-pmi-monthly,
29,economic-china-ppi-monthly,宏观经济,PPI 数据（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-ppi,无,无,否,获取中国工业品出厂价格指数 PPI 月度数据，含当月值、同比、环比及当年累计平均等,python <RUN_PY> economic-china-ppi-monthly,
30,economic-china-reserve-ratio-monthly,宏观经济,准备金率（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-reserve-ratio,无,无,否,获取中国人民币存款准备金率月度数据，含大型与中小型金融机构准备金率等,python <RUN_PY> economic-china-reserve-ratio-monthly,
31,economic-china-retail-sales-monthly,宏观经济,社会消费品零售总额（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-retail-sales,无,无,否,获取中国社会消费品零售总额月度数据，含当月值、同比、累计及累计同比等,python <RUN_PY> economic-china-retail-sales-monthly,
32,economic-china-tax-revenue-monthly,宏观经济,全国税收收入（月度汇总计算结果）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/china-tax-revenue,无,无,否,获取中国全国税收收入月度数据，含当月值、累计值、累计同比、月度环比、月度同比等,python <RUN_PY> economic-china-tax-revenue-monthly,
33,economic-us-economic-by-type,美股,按类型查询美国经济指标（统一接口）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/economic/us-economic,type,type,否,通过参数 type 指定指标类型，获取对应美国经济指标的时间序列（时间、前值、现值、发布日期）；支持 16 类指标,python <RUN_PY> economic-us-economic-by-type,
34,etf-component,ETF / 基金 / 可转债,查询单只 ETF 成份,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/etf-component,symbol,symbol,否,根据标的代码查询单只 ETF 的成份股列表（成份股代码与名称）；未找到或报错时接口返回相应错误信息,python <RUN_PY> etf-component --symbol 510300.XSHG,
35,etf-description-all,ETF / 基金 / 可转债,查询全部ETF基础信息,GET,https://market.ft.tech,/gateway/api/v1/market/data/etf-description-all,无,无,否,获取 ETF 列表（代码与名称）及部分基础属性信息，用于列表展示、筛选与检索,python <RUN_PY> etf-description-all,
36,etf-detail,ETF / 基金 / 可转债,查询单只 ETF 详情,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/daec/etf?symbol=:etf,etf,"etf, masks",否,获取 A 股指定 ETF 的详情（名称、行情、盘口、市值、涨跌幅、跟踪指数、投资类型等）；支持通过 masks 按需返回部分字段；带登录态时可能包含是否在默认分组,python <RUN_PY> etf-detail --etf 510050.XSHG,
37,etf-list-paginated,ETF / 基金 / 可转债,ETF 分页列表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/daec/etfs,无,"order_by, ob, filter, masks, page_size, page_no, filter_index",否,分页获取 A 股 ETF 列表，支持按字段排序、按条件筛选、按需返回字段（masks）；不传分页参数时返回全部（先筛选、排序后再截断）,python <RUN_PY> etf-list-paginated,
38,etf-ohlcs,ETF / 基金 / 可转债,查询单只 ETF OHLC K 线,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/daec/history/ohlcs,"etf, since","etf, since, until, interval, adjust",否,获取 A 股指定 ETF 在指定日期区间、周期的 K 线（开高低收、成交量、成交额），支持日/周/月线与前/后复权,python <RUN_PY> etf-ohlcs --etf 510050.XSHG --since 20240101 --until 20240131,
39,etf-pcf-download,ETF / 基金 / 可转债,下载指定 PCF 文件,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/etf-pcf/etf-pcfs/{filename},filename,"filename, output",否,根据 PCF 文件名下载对应 XML 文件内容，用于 ETF 申购赎回清单的详细数据,python <RUN_PY> etf-pcf-download --filename pcf_159003_20260309.xml > pcf_159003_20260309.xml,
40,etf-pcfs,ETF / 基金 / 可转债,获取指定日期 ETF PCF 列表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/etf-pcf/etf-pcfs,date,"date, page, page_size",否,获取指定交易日 ETF 申购赎回清单（PCF）文件列表，支持分页，数据来自外部 PCF 服务,python <RUN_PY> etf-pcfs --date 20260309,
41,etf-pre-single,ETF / 基金 / 可转债,查询单只 ETF 盘前数据,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/etf-pre-single,symbol,"symbol, date",否,根据标的代码查询单只 ETF 的盘前信息（申购赎回单位、净值、现金差额等）；不传 date 时使用当日（CST）；未找到或报错时接口返回相应错误信息,python <RUN_PY> etf-pre-single --symbol 510300.XSHG,
42,etf-prices,ETF / 基金 / 可转债,查询单只 ETF 分时价格（一分钟级别）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/daec/history/prices,"etf, since, since_ts_ms","etf, since, since_ts_ms",否,获取 A 股指定 ETF 在指定时间范围内的分时数据（一分钟一根），用于分时图、当日/多日走势；每条含该分钟的价格、成交量、成交额、均价、时间戳；支持从今天起、从五日前起、从 N 个交易日前起或从指定毫秒时间戳起,python <RUN_PY> etf-prices --etf 510050.XSHG --since TODAY,
43,financial-calendar,时间 / 日历 / 新闻,查询财经日历,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/finance/financial-calendar,"start_date, end_date","start_date, end_date",否,按日期范围查询华尔街见闻与百度财经日历数据（宏观数据、IPO、财报时间、交易提醒等）,python <RUN_PY> financial-calendar --start-date 2026-05-01 --end-date 2026-05-07,
44,fund-basicinfo-single-fund,ETF / 基金 / 可转债,查询指定基金基础信息,,https://market.ft.tech,,institution_code,institution_code,否,"Get basic information of a specific fund by institution code. Use when user asks about fund details, 基金基本信息, 基金管理人, 基金经理, 基金类型, 投资目标.",python <RUN_PY> fund-basicinfo-single-fund --institution-code 000001,
45,fund-cal-return-single-fund-specific-period,ETF / 基金 / 可转债,查询指定基金在指定区间的累计收益率,,https://market.ft.tech,,"institution_code, cal_type","institution_code, cal_type",否,"Get cumulative return time series for a specific fund over a given period. Use when user asks about 基金累计收益率, 近1年/近3个月收益, YTD收益, 基金收益曲线.",python <RUN_PY> fund-cal-return-single-fund-specific-period --institution-code 159619 --cal-type 1Y,
46,fund-nav-single-fund-paginated,ETF / 基金 / 可转债,查询指定基金的净值历史（分页）,,https://market.ft.tech,,institution_code,"institution_code, page, page_size",否,"Get paginated NAV history for a specific fund. Use when user asks about 基金净值, 单位净值, 累计净值, 日增长率, 基金净值历史.",python <RUN_PY> fund-nav-single-fund-paginated --institution-code 000001 --page 1 --page-size 50,
47,fund-overview-all-funds-paginated,ETF / 基金 / 可转债,查询所有基金概览信息（分页）,,https://market.ft.tech,,无,"page, page_size",否,"Get paginated overview information for all funds. Use when user asks about 基金概览, 所有基金信息, fund overview list, 基金列表概况.",python <RUN_PY> fund-overview-all-funds-paginated --page 1 --page-size 20,
48,fund-support-symbols-all-funds-paginated,ETF / 基金 / 可转债,查询所有支持基金的标的列表（分页）,,https://market.ft.tech,,无,"page, page_size",否,"Get paginated list of all supported fund symbols with code and name. Use when user asks about 支持的基金列表, 基金代码清单, 所有基金标的.",python <RUN_PY> fund-support-symbols-all-funds-paginated --page 1 --page-size 20,
49,get-nth-trade-date,时间 / 日历 / 新闻,获取第 N 个交易日,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/time/get-nth-trade-date,n,n,否,获取当前日期的前 N 个交易日，用于计算交易日相关逻辑；查「近 N 天」K 线时先调用本接口得到起止交易日，再转为毫秒时间戳请求 K 线接口,python <RUN_PY> get-nth-trade-date --n 5,
50,hk-balance,港股 / 港股通 / AH,对外接口-查询港股资产负债表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/hk/hk-balance-{gene\|bank\|insur},无,"trade_code, year, report_type, company_type, start_date, end_date, page, page_size, all",是,查询港股上市公司资产负债表（时点数据）。gene 一般企业 150 字段、bank 银行 84 字段、insur 保险 85 字段。用 --company_type 选择。,python <RUN_PY> hk-balance,
51,hk-candlesticks,港股 / 港股通 / AH,查询港股 K 线,GET,https://market.ft.tech,/gateway/api/v1/market/data/hk/hk-candlesticks,"trade_code, interval_unit, until_date","trade_code, interval_unit, until_date, since_date, adjust_kind, interval_value, limit",否,按港股代码查询日/月/季/年 K 线（来源：hkshareeodprices）；请求与响应中的代码均为 **5 位数字 + .HK**，服务端会转换为库内 4 位 Wind 代码查询,python <RUN_PY> hk-candlesticks --trade-code 00700.HK --interval-unit day --until-date 2026-03-24 --since-date 2026-03-01 --limit 20,
52,hk-cashflow,港股 / 港股通 / AH,对外接口-查询港股现金流量表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/hk/hk-cashflow,无,"stock_code, year, report_type, start_date, end_date, page, page_size, all",是,查询港股上市公司现金流量表。**注意：本接口用 stock_code 作为股票代码参数（与利润表/资产负债表的 trade_code 不同）**。数据来源 ClickHouse hkstk_cashflow。,python <RUN_PY> hk-cashflow,
53,hk-income,港股 / 港股通 / AH,对外接口-查询港股利润表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/hk/hk-income-{gene\|bank\|insur},无,"trade_code, year, report_type, company_type, start_date, end_date, page, page_size, all",是,查询港股上市公司利润表。一般企业 gene、银行业 bank、保险业 insur 字段不同，用 --company_type 选择。数据来源 ClickHouse hkstk_income_gene/bank/insur。,python <RUN_PY> hk-income,
54,hk-valuatnanalyd,港股 / 港股通 / AH,查询港股估值分析（分页）,GET,https://market.ft.tech,/gateway/api/v1/market/data/hk/hk-valuatnanalyd,无,"trade_code, page, page_size",否,分页查询 hkstk_valuatnanalyd 估值分析明细；可按 trade_code 过滤单票，不传则返回全市场分页数据,python <RUN_PY> hk-valuatnanalyd --trade_code 00700.HK --page 1 --page_size 20,
55,hk-view,港股 / 港股通 / AH,查询港股基础视图,GET,https://market.ft.tech,/gateway/api/v1/market/data/hk/hk-view,hk_code,hk_code,否,按港股代码查询单票基础视图信息，含证券简称、板块、上市状态、股本结构、港股市值及主要估值指标等,python <RUN_PY> hk-view --hk_code 00700.HK,
56,hsi-daily-weight,港股 / 港股通 / AH,对外接口-查询恒生指数成分权重,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/hk/hsi-daily-weight,无,"trade_date, start_date, end_date, index_slug, stock_code, page, page_size, all",是,查询恒生系列指数成份股的权重数据，支持按交易日、日期范围、指数代码、股票代码过滤。数据来源 MySQL xz02.base_data.hsi_daily_weight。,python <RUN_PY> hsi-daily-weight,
57,index-description-all,指数 / 行业 / 板块,查询全部指数基础信息,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/index-description-all,无,无,否,获取当前服务支持的 A 股相关指数列表及简称、全称、市净率、市盈率（TTM）等基础信息,python <RUN_PY> index-description-all,
58,index-description-download,指数 / 行业 / 板块,下载指数描述文件,GET,https://market.ft.tech,/gateway/api/v1/market/data/index/index_description/{url_hash},url_hash,"url_hash, output",否,根据「分页查询指数描述列表」返回的 url_hash 下载对应指数描述文件（内容为 PDF）,python <RUN_PY> index-description-download --url-hash <url_hash>,
59,index-description-paginated,指数 / 行业 / 板块,分页查询指数描述列表,GET,https://market.ft.tech,/gateway/api/v1/market/data/index/index_description,无,"page, page_size",否,分页获取 A 股相关指数描述信息，含指数代码、名称、简介及用于下载文件的 url_hash,python <RUN_PY> index-description-paginated --page 1 --page-size 20,
60,index-detail,指数 / 行业 / 板块,查询单只指数详情,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/daec/index?symbol=:index,index,"index, masks",否,获取 A 股指定指数的详情（名称、行情点位、成交、涨跌幅等）；支持通过 masks 按需返回部分字段,python <RUN_PY> index-detail --index 000001.XSHG,
61,index-list-paginated,指数 / 行业 / 板块,指数列表（分页、排序、筛选）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/daec/indices,无,"order_by, ob, filter, masks, page_size, page_no",否,分页获取 A 股指数列表，支持按字段排序、按条件筛选、按需返回字段（masks）；不传分页参数时返回全部（先筛选、排序后再截断）,python <RUN_PY> index-list-paginated,
62,index-ohlcs,指数 / 行业 / 板块,查询单只指数 OHLC K 线,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/daec/history/ohlcs,"index, since","index, since, until, interval, adjust",否,获取 A 股指定指数在指定日期区间、周期的 K 线（开高低收、成交量、成交额），支持日/周/月线与前/后复权,python <RUN_PY> index-ohlcs --index 000001.XSHG --since 20240101 --until 20240131,
63,index-prices,指数 / 行业 / 板块,查询单只指数分时价格（一分钟级别）,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/daec/history/prices,"index, since, since_ts_ms","index, since, since_ts_ms",否,获取 A 股指定指数在指定时间范围内的分时数据（一分钟一根），用于分时图、当日/多日走势；每条含该分钟的指数点位、成交量、成交额、时间戳；支持从今天起、从五日前起、从 N 个交易日前起或从指定毫秒时间戳起,python <RUN_PY> index-prices --index 000001.XSHG --since TODAY,
64,index-weight-download,指数 / 行业 / 板块,下载指数权重文件,GET,https://market.ft.tech,/gateway/api/v1/market/data/index/index_weight/{url_hash},url_hash,"url_hash, output",否,根据「分页查询指数权重列表」或「分页查询指数权重汇总」返回的 url_hash 下载该期指数权重 Excel（xlsx）二进制文件,python <RUN_PY> index-weight-download --url-hash <url_hash>,
65,index-weight-list,指数 / 行业 / 板块,分页查询指数权重列表,GET,https://market.ft.tech,/gateway/api/v1/market/data/index/index_weight,index_code,"index_code, date, page, page_size",否,按指数代码（及可选日期）分页查询成份权重明细；每条记录含成份代码、名称、权重比例及该期文件 url_hash,python <RUN_PY> index-weight-list --index-code 000300 --date 20250320 --page 1 --page-size 20,
66,index-weight-summary,指数 / 行业 / 板块,分页查询指数权重汇总,GET,https://market.ft.tech,/gateway/api/v1/market/data/index/index_weight_summary,无,"page, page_size",否,按指数汇总各期权重数据的 date 与 url_hash，便于再调用「下载指数权重文件」获取具体权重表,python <RUN_PY> index-weight-summary --page 1 --page-size 20,
67,limit-down-pool,A 股资金 / 估值 / 热度 / 短线,查询当日跌停股池,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/limit-down-pool,无,无,否,查询当前交易日正在跌停的 A 股股票列表（limit_down_enter 非空的股票），包含封板时间、翘板次数、封单资金等字段,python <RUN_PY> limit-down-pool,
68,limit-up-break-pool,A 股资金 / 估值 / 热度 / 短线,查询当日炸板股池,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/limit-up-break-pool,无,无,否,查询当前交易日涨停过且炸板过的 A 股股票列表（limit_up_enter 且 limit_up_break 均非空）,python <RUN_PY> limit-up-break-pool,
69,limit-up-pool,A 股资金 / 估值 / 热度 / 短线,查询当日涨停股池,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/limit-up-pool,无,无,否,查询当前交易日正在涨停的 A 股股票列表（limit_up_enter 非空的股票），包含封板时间、炸板次数等字段,python <RUN_PY> limit-up-pool,
70,limit-up-pool-yesterday,A 股资金 / 估值 / 热度 / 短线,查询昨日涨停股池,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/limit-up-pool-yesterday,无,无,否,查询上一个交易日涨停的 A 股股票列表,python <RUN_PY> limit-up-pool-yesterday,
71,major-contract-by-date,A 股股东 / 股权 / 公司事件,按公告日期范围查询重大合同,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/corporate/contract,"start_date, end_date","start_date, end_date",否,按公告日期范围查询 A 股上市公司重大合同，包括合同方、金额、收入影响等,python <RUN_PY> major-contract-by-date --start_date 20260526 --end_date 20260526,
72,major-contract-by-symbol,A 股股东 / 股权 / 公司事件,按股票代码查询重大合同,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/corporate/contract/by-symbol,symbol,"symbol, page, page_size",否,查询指定股票的所有重大合同信息，按公告日期降序排列，支持分页,python <RUN_PY> major-contract-by-symbol --symbol 300500,
73,major-contract-summary,A 股股东 / 股权 / 公司事件,近一年个股重大合同汇总,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/corporate/contract/summary,无,"page, page_size",否,近一年各股票重大合同数量与金额汇总排名，按合同总额降序，支持分页,python <RUN_PY> major-contract-summary,
74,margin-trading-details,其他,获取融资融券明细,GET / POST,https://market.ft.tech,/gateway/api/v1/market/data/margin-trading-details,"page, page_size","page, date, page_size, all",是,获取 A 股融资融券明细列表，按融资净买入额降序排列，支持分页查询,python <RUN_PY> margin-trading-details --page 1 --page_size 20,
75,northbound,港股 / 港股通 / AH,查询北向资金交易数据,GET,https://market.ft.tech,/gateway/api/v1/market/data/northbound,date,date,否,查询指定交易日北向资金（沪股通、深股通）交易汇总数据,python <RUN_PY> northbound --date 20250101,
76,pledge-detail,A 股股东 / 股权 / 公司事件,查询单票股权质押个股详细信息,GET,https://market.ft.tech,/gateway/api/v1/market/data/pledge/pledge-detail,stock_code,"stock_code, page, page_size",否,获取 A 股上市公司单只股票所有报告期的股权质押详细信息，支持沪深京股票，支持分页查询,python <RUN_PY> pledge-detail --stock_code 603323.SH,
77,pledge-summary,A 股股东 / 股权 / 公司事件,查询所有期股权质押总揽数据,GET,https://market.ft.tech,/gateway/api/v1/market/data/pledge/pledge-summary,无,无,否,获取 A 股市场所有报告期的股权质押总揽数据，包括质押公司数量、质押笔数、质押总股数、质押总市值、沪深300指数等信息，支持沪深京股票,python <RUN_PY> pledge-summary,
78,semantic-search-news,时间 / 日历 / 新闻,语义搜索新闻,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/semantic-search-news,query,"query, limit, year, start_time, end_time",否,根据搜索文字进行语义搜索，返回相关新闻列表；数据仅支持查询**当年**、**最近半个月**内的新闻,python <RUN_PY> semantic-search-news --query 人工智能,
79,shareholder-meeting,A 股股东 / 股权 / 公司事件,查询股东大会,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/corporate/meeting,无,"page, page_size",否,查询 A 股上市公司股东大会召开信息，包括会议日期、股权登记日、提案等，支持分页,python <RUN_PY> shareholder-meeting,
80,southbound,港股 / 港股通 / AH,查询南向资金交易数据,GET,https://market.ft.tech,/gateway/api/v1/market/data/southbound,date,date,否,查询指定交易日南向资金（港股通沪、港股通深）交易汇总数据,python <RUN_PY> southbound --date 20250101,
81,stock-balance-all-stocks-specific-period,A 股财报 / 业绩,查询单报告期所有票资产负债表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/finance/balance,"year, report_type, page, page_size","year, report_type, page, page_size",否,获取 A 股指定报告期所有股票的资产负债表，支持沪深京股票，支持分页,python <RUN_PY> stock-balance-all-stocks-specific-period,
