官网顺序,目录路径,一级目录,二级目录,三级目录,页面标题,文档标题,doc_id,官方链接,接口名,接口类型,描述,更新时间,权限类型,权限原文,限量/频次原文,输入参数数量,输入参数结构,输出字段数量,输出字段摘要,证据状态
25,股票数据 / 行情数据 / 周/月线行情(每日更新),股票数据,行情数据,,周/月线行情(每日更新),股票周/月线行情(每日更新),336,https://tushare.pro/document/2?doc_id=336,stk_weekly_monthly,股票数据 / 行情数据,描述：股票周/月线行情(每日更新),,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,"限量：单次最大6000,可使用交易日期循环提取，总量不限制",5,"ts_code:str, trade_date:str, start_date:str, end_date:str, freq*:str",13,"ts_code:str(Y), trade_date:str(Y), end_date:str(Y), freq:str(Y), open:float(Y), high:float(Y), low:float(Y), close:float(Y), pre_close:float(Y), vol:float(Y), amount:float(Y), change:float(Y), pct_chg:float(Y)",官网右侧文档直接提取
26,股票数据 / 行情数据 / 周/月线复权行情(每日更新),股票数据,行情数据,,周/月线复权行情(每日更新),股票周/月线行情(复权--每日更新),365,https://tushare.pro/document/2?doc_id=365,stk_week_month_adj,股票数据 / 行情数据,描述：股票周/月线行情(复权--每日更新),,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,"限量：单次最大6000,可使用交易日期循环提取，总量不限制",5,"ts_code:str, trade_date:str, start_date:str, end_date:str, freq*:str",21,"ts_code:str(Y), trade_date:str(Y), end_date:str(Y), freq:str(Y), open:float(Y), high:float(Y), low:float(Y), close:float(Y), pre_close:float(Y), open_qfq:float(Y), high_qfq:float(Y), low_qfq:float(Y), close_qfq:float(Y), open_hfq:float(Y), high_hfq:float(Y), low_hfq:float(Y), close_hfq:float(Y), vol:float(Y), amount:float(Y), change:float(Y), pct_chg:float(Y)",官网右侧文档直接提取
27,股票数据 / 行情数据 / 复权因子,股票数据,行情数据,,复权因子,复权因子,28,https://tushare.pro/document/2?doc_id=28,adj_factor,股票数据 / 行情数据,描述：本接口由Tushare自行生产，获取股票复权因子，可提取单只股票全部历史复权因子，也可以提取单日全部股票的复权因子。,更新时间：盘前9点15~20分完成当日复权因子入库,积分可访问,,,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",3,"ts_code:str, trade_date:str, adj_factor:float",官网右侧文档直接提取
28,股票数据 / 行情数据 / 每日指标,股票数据,行情数据,,每日指标,每日指标,32,https://tushare.pro/document/2?doc_id=32,daily_basic,股票数据 / 行情数据,描述：获取全部股票每日重要的基本面指标，可用于选股分析、报表展示等。单次请求最大返回6000条数据，可按日线循环提取全部历史。,更新时间：交易日每日15点～17点之间,积分可访问,积分：至少2000积分才可以调取，5000积分无总量限制，具体请参阅积分获取办法,,4,"ts_code*:str, trade_date:str, start_date:str, end_date:str",18,"ts_code:str, trade_date:str, close:float, turnover_rate:float, turnover_rate_f:float, volume_ratio:float, pe:float, pe_ttm:float, pb:float, ps:float, ps_ttm:float, dv_ratio:float, dv_ttm:float, total_share:float, float_share:float, free_share:float, total_mv:float, circ_mv:float",官网右侧文档直接提取；同一 doc_id 在官网树出现 2 次
29,股票数据 / 行情数据 / 通用行情接口,股票数据,行情数据,,通用行情接口,通用行情接口,109,https://tushare.pro/document/2?doc_id=109,(无 API，数据服务),股票数据 / 行情数据,描述：目前整合了股票（未复权、前复权、后复权）、指数、ETF基金、期货、期权的行情数据，未来还将整合包括外汇在内的所有交易行情数据，同时提供分钟数据。不同数据对应不同的积分要求，具体请参阅每类数据的文档说明。,更新时间：股票和指数通常在15点～17点之间，具体请参考各接口文档明细。,积分可访问,,,9,"ts_code*:str, start_date:str, end_date:str, asset:str, adj:str, freq:str, ma:list, factors:list, adjfactor:str",0,,官网右侧文档直接提取
30,股票数据 / 行情数据 / 每日涨跌停价格,股票数据,行情数据,,每日涨跌停价格,每日涨跌停价格,183,https://tushare.pro/document/2?doc_id=183,stk_limit,股票数据 / 行情数据,描述：获取全市场（包含A/B股和基金）每日涨跌停价格，包括涨停价格，跌停价格等，每个交易日8点40左右更新当日股票涨跌停价格。,,积分可访问,积分：用户积2000积分可调取，单位分钟有流控，积分越高流量越大，请自行提高积分，具体请参阅积分获取办法,限量：单次最多提取5800条记录，可循环调取，总量不限制,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",5,"trade_date:str(Y), ts_code:str(Y), pre_close:float(N), up_limit:float(Y), down_limit:float(Y)",官网右侧文档直接提取
31,股票数据 / 行情数据 / 每日停复牌信息,股票数据,行情数据,,每日停复牌信息,每日停复牌信息,214,https://tushare.pro/document/2?doc_id=214,suspend_d,股票数据 / 行情数据,描述：按日期方式获取股票每日停复牌信息,更新时间：不定期,积分可访问,,,5,"ts_code:str, trade_date:str, start_date:str, end_date:str, suspend_type:str",4,"ts_code:str(Y), trade_date:str(Y), suspend_timing:str(Y), suspend_type:str(Y)",官网右侧文档直接提取；官网右侧文档未明示权限；按日频行情/停复牌同类接口判定为积分接口
32,股票数据 / 行情数据 / 沪深股通十大成交股,股票数据,行情数据,,沪深股通十大成交股,沪深股通十大成交股,48,https://tushare.pro/document/2?doc_id=48,hsgt_top10,股票数据 / 行情数据,描述：获取沪股通、深股通每日前十大成交详细数据，每天18~20点之间完成当日更新,,积分可访问,,,5,"ts_code:str, trade_date:str, start_date:str, end_date:str, market_type:str",11,"trade_date:str, ts_code:str, name:str, close:float, change:float, rank:int, market_type:str, amount:float, net_amount:float, buy:float, sell:float",官网右侧文档直接提取；官网右侧文档未明示权限；按沪深股通行情同类接口判定为积分接口
33,股票数据 / 行情数据 / 港股通十大成交股,股票数据,行情数据,,港股通十大成交股,港股通十大成交股,49,https://tushare.pro/document/2?doc_id=49,ggt_top10,股票数据 / 行情数据,描述：获取港股通每日成交数据，其中包括沪市、深市详细数据，每天18~20点之间完成当日更新,,积分可访问,,,5,"ts_code:str, trade_date:str, start_date:str, end_date:str, market_type:str",17,"trade_date:str, ts_code:str, name:str, close:float, p_change:float, rank:int, market_type:str, amount:float, net_amount:float, sh_amount:float, sh_net_amount:float, sh_buy:float, sh_sell:float, sz_amount:float, sz_net_amount:float, sz_buy:float, sz_sell:float",官网右侧文档直接提取；官网右侧文档未明示权限；按港股通行情同类接口判定为积分接口
34,股票数据 / 行情数据 / 港股通每日成交统计,股票数据,行情数据,,港股通每日成交统计,港股通每日成交统计,196,https://tushare.pro/document/2?doc_id=196,ggt_daily,股票数据 / 行情数据,描述：获取港股通每日成交信息，数据从2014年开始,,积分可访问,积分：用户积2000积分可调取，5000积分以上频次相对较高，请自行提高积分，具体请参阅积分获取办法,限量：单次最大1000，总量数据不限制,3,"trade_date:str, start_date:str, end_date:str",5,"trade_date:str(Y), buy_amount:float(Y), buy_volume:float(Y), sell_amount:float(Y), sell_volume:float(Y)",官网右侧文档直接提取
35,股票数据 / 行情数据 / 备用行情,股票数据,行情数据,,备用行情,备用行情,255,https://tushare.pro/document/2?doc_id=255,bak_daily,股票数据 / 行情数据,描述：获取备用行情，包括特定的行情指标(数据从2017年中左右开始，早期有几天数据缺失，近期正常),,积分可访问,,限量：单次最大7000行数据，可以根据日期参数循环获取，正式权限需要5000积分。,6,"ts_code:str, trade_date:str, start_date:str, end_date:str, offset:str, limit:str",31,"ts_code:str(Y), trade_date:str(Y), name:str(Y), pct_change:float(Y), close:float(Y), change:float(Y), open:float(Y), high:float(Y), low:float(Y), pre_close:float(Y), vol_ratio:float(Y), turn_over:float(Y), swing:float(Y), vol:float(Y), amount:float(Y), selling:float(Y), buying:float(Y), total_share:float(Y), float_share:float(Y), pe:float(Y), industry:str(Y), area:str(Y), float_mv:float(Y), total_mv:float(Y), avg_price:float(Y), strength:float(Y), activity:float(Y), avg_turnover:float(Y), attack:float(Y), interval_3:float(Y), interval_6:float(Y)",官网右侧文档直接提取
37,股票数据 / 财务数据 / 利润表,股票数据,财务数据,,利润表,利润表,33,https://tushare.pro/document/2?doc_id=33,income,股票数据 / 财务数据,描述：获取上市公司财务利润表数据,,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,,8,"ts_code*:str, ann_date:str, f_ann_date:str, start_date:str, end_date:str, period:str, report_type:str, comp_type:str",94,"ts_code:str(Y), ann_date:str(Y), f_ann_date:str(Y), end_date:str(Y), report_type:str(Y), comp_type:str(Y), end_type:str(Y), basic_eps:float(Y), diluted_eps:float(Y), total_revenue:float(Y), revenue:float(Y), int_income:float(Y), prem_earned:float(Y), comm_income:float(Y), n_commis_income:float(Y), n_oth_income:float(Y), n_oth_b_income:float(Y), prem_income:float(Y), out_prem:float(Y), une_prem_reser:float(Y), reins_income:float(Y), n_sec_tb_income:float(Y), n_sec_uw_income:float(Y), n_asset_mg_income:float(Y), oth_b_income:float(Y), fv_value_chg_gain:float(Y), invest_income:float(Y), ass_invest_income:float(Y), forex_gain:float(Y), total_cogs:float(Y), oper_cost:float(Y), int_exp:float(Y), comm_exp:float(Y), biz_tax_surchg:float(Y), sell_exp:float(Y), admin_exp:float(Y), fin_exp:float(Y), assets_impair_loss:float(Y), prem_refund:float(Y), compens_payout:float(Y), reser_insur_liab:float(Y), div_payt:float(Y), reins_exp:float(Y), oper_exp:float(Y), compens_payout_refu:float(Y), insur_reser_refu:float(Y), reins_cost_refund:float(Y), other_bus_cost:float(Y), operate_profit:float(Y), non_oper_income:float(Y), non_oper_exp:float(Y), nca_disploss:float(Y), total_profit:float(Y), income_tax:float(Y), n_income:float(Y), n_income_attr_p:float(Y), minority_gain:float(Y), oth_compr_income:float(Y), t_compr_income:float(Y), compr_inc_attr_p:float(Y) ... +34",官网右侧文档直接提取
38,股票数据 / 财务数据 / 资产负债表,股票数据,财务数据,,资产负债表,资产负债表,36,https://tushare.pro/document/2?doc_id=36,balancesheet,股票数据 / 财务数据,描述：获取上市公司资产负债表,,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,,7,"ts_code*:str, ann_date:str, start_date:str, end_date:str, period:str, report_type:str, comp_type:str",158,"ts_code:str(Y), ann_date:str(Y), f_ann_date:str(Y), end_date:str(Y), report_type:str(Y), comp_type:str(Y), end_type:str(Y), total_share:float(Y), cap_rese:float(Y), undistr_porfit:float(Y), surplus_rese:float(Y), special_rese:float(Y), money_cap:float(Y), trad_asset:float(Y), notes_receiv:float(Y), accounts_receiv:float(Y), oth_receiv:float(Y), prepayment:float(Y), div_receiv:float(Y), int_receiv:float(Y), inventories:float(Y), amor_exp:float(Y), nca_within_1y:float(Y), sett_rsrv:float(Y), loanto_oth_bank_fi:float(Y), premium_receiv:float(Y), reinsur_receiv:float(Y), reinsur_res_receiv:float(Y), pur_resale_fa:float(Y), oth_cur_assets:float(Y), total_cur_assets:float(Y), fa_avail_for_sale:float(Y), htm_invest:float(Y), lt_eqt_invest:float(Y), invest_real_estate:float(Y), time_deposits:float(Y), oth_assets:float(Y), lt_rec:float(Y), fix_assets:float(Y), cip:float(Y), const_materials:float(Y), fixed_assets_disp:float(Y), produc_bio_assets:float(Y), oil_and_gas_assets:float(Y), intan_assets:float(Y), r_and_d:float(Y), goodwill:float(Y), lt_amor_exp:float(Y), defer_tax_assets:float(Y), decr_in_disbur:float(Y), oth_nca:float(Y), total_nca:float(Y), cash_reser_cb:float(Y), depos_in_oth_bfi:float(Y), prec_metals:float(Y), deriv_assets:float(Y), rr_reins_une_prem:float(Y), rr_reins_outstd_cla:float(Y), rr_reins_lins_liab:float(Y), rr_reins_lthins_liab:float(Y) ... +98",官网右侧文档直接提取
39,股票数据 / 财务数据 / 现金流量表,股票数据,财务数据,,现金流量表,现金流量表,44,https://tushare.pro/document/2?doc_id=44,cashflow,股票数据 / 财务数据,描述：获取上市公司现金流量表,,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,,9,"ts_code*:str, ann_date:str, f_ann_date:str, start_date:str, end_date:str, period:str, report_type:str, comp_type:str, is_calc:int",97,"ts_code:str(Y), ann_date:str(Y), f_ann_date:str(Y), end_date:str(Y), comp_type:str(Y), report_type:str(Y), end_type:str(Y), net_profit:float(Y), finan_exp:float(Y), c_fr_sale_sg:float(Y), recp_tax_rends:float(Y), n_depos_incr_fi:float(Y), n_incr_loans_cb:float(Y), n_inc_borr_oth_fi:float(Y), prem_fr_orig_contr:float(Y), n_incr_insured_dep:float(Y), n_reinsur_prem:float(Y), n_incr_disp_tfa:float(Y), ifc_cash_incr:float(Y), n_incr_disp_faas:float(Y), n_incr_loans_oth_bank:float(Y), n_cap_incr_repur:float(Y), c_fr_oth_operate_a:float(Y), c_inf_fr_operate_a:float(Y), c_paid_goods_s:float(Y), c_paid_to_for_empl:float(Y), c_paid_for_taxes:float(Y), n_incr_clt_loan_adv:float(Y), n_incr_dep_cbob:float(Y), c_pay_claims_orig_inco:float(Y), pay_handling_chrg:float(Y), pay_comm_insur_plcy:float(Y), oth_cash_pay_oper_act:float(Y), st_cash_out_act:float(Y), n_cashflow_act:float(Y), oth_recp_ral_inv_act:float(Y), c_disp_withdrwl_invest:float(Y), c_recp_return_invest:float(Y), n_recp_disp_fiolta:float(Y), n_recp_disp_sobu:float(Y), stot_inflows_inv_act:float(Y), c_pay_acq_const_fiolta:float(Y), c_paid_invest:float(Y), n_disp_subs_oth_biz:float(Y), oth_pay_ral_inv_act:float(Y), n_incr_pledge_loan:float(Y), stot_out_inv_act:float(Y), n_cashflow_inv_act:float(Y), c_recp_borrow:float(Y), proc_issue_bonds:float(Y), oth_cash_recp_ral_fnc_act:float(Y), stot_cash_in_fnc_act:float(Y), free_cashflow:float(Y), c_prepay_amt_borr:float(Y), c_pay_dist_dpcp_int_exp:float(Y), incl_dvd_profit_paid_sc_ms:float(Y), oth_cashpay_ral_fnc_act:float(Y), stot_cashout_fnc_act:float(Y), n_cash_flows_fnc_act:float(Y), eff_fx_flu_cash:float(Y) ... +37",官网右侧文档直接提取
40,股票数据 / 财务数据 / 业绩预告,股票数据,财务数据,,业绩预告,业绩预告,45,https://tushare.pro/document/2?doc_id=45,forecast,股票数据 / 财务数据,描述：获取业绩预告数据,,积分可访问,权限：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,,6,"ts_code:str, ann_date:str, start_date:str, end_date:str, period:str, type:str",12,"ts_code:str, ann_date:str, end_date:str, type:str, p_change_min:float, p_change_max:float, net_profit_min:float, net_profit_max:float, last_parent_net:float, first_ann_date:str, summary:str, change_reason:str",官网右侧文档直接提取
