序号,分类,Tool,作用摘要,必填参数,全部参数,参数数量
24,指数 / 行业 / 板块,ft_eastmoney_board_constituents,按板块代码查询东方财富概念板块的成份股列表，返回板块代码、板块名称及成份股数组（每只含 6 位股票代码 + 中文名称）。典型板块成份股数量从几十到两百不等（如 BK1024 绿色电力约 168 只）。,board_code,board_code,1
25,指数 / 行业 / 板块,ft_eastmoney_board_daily_kline,获取单个东方财富概念板块的历史日线 OHLC（全部字段按**字符串**返回，含开/收/高/低 + 成交量/成交额 + 振幅/涨跌幅/涨跌额/换手率 + 市场代码）。支持按日期范围过滤与分页。,board_code,"board_code, end_date, page, page_size, start_date",5
26,指数 / 行业 / 板块,ft_eastmoney_board_latest_kline,获取东方财富概念板块的**最新一日** OHLC 行情（开/收/高/低 + 成交量/成交额 + 振幅/涨跌幅/涨跌额/换手率）。传 `board_code` 返回单板块最新一根；,无,"board_code, page, page_size",3
27,指数 / 行业 / 板块,ft_eastmoney_concept_boards,获取东方财富**概念板块**列表（板块代码以 `BK` 开头，如 BK1024）。返回数组（非分页），当前在线约 486 个概念板块。,无,无,0
28,资金 / 情绪 / 短线,ft_eastmoney_rank,查询东方财富股票排行榜最新一期快照。来源标识为东方财富（eastmoney），支持按榜单组（人气榜 / 飙升榜）与市场（A股 / 港股 / 美股）查询；,无,"market, rank_group, trade_date",3
29,美股,ft_eastmoney_us_stock_daily_kline,获取东方财富**美股历史日 K 线**（OHLC），按 `stock_code` 读取对应 CSV 的全部行，全部字段以字符串返回，支持按日期范围过滤与分页。数据来源：东方财富，本地维护按 secid 命名的 CSV 文件。,stock_code,"end_date, page, page_size, start_date, stock_code",5
30,美股,ft_eastmoney_us_stock_latest_kline,获取东方财富**美股最新一根日 K 线**（取每只标的 CSV 的最后一行 OHLC）。传 `stock_code` 返回单只标的最新 K 线；,无,"page, page_size, stock_code",3
31,美股,ft_eastmoney_us_stock_list,获取东方财富**美股列表**（从内存缓存返回），含证券 ID（secid `{market}.{code}`）、市值（美元）、最新价、涨跌幅、成交量、成交额、市盈率 TTM 等。数据来源：东方财富，本地维护 CSV 并加载到内存缓存。,无,"page, page_size, refresh",3
32,ETF / 基金,ft_etf_adjust_factor,查询 ETF 复权因子（当日复权因子 + 截至当日累计复权因子）。支持两种模式：① 单日扫描——指定 `trade_date` 返回该日复权因子快照，未指定 `symbol` 时返回所有标的单日快照；,无,"end_date, limit, offset, start_date, symbol, trade_date",6
33,ETF / 基金,ft_etf_components_all,获取全部 ETF 的成份股清单（每只 ETF 一条记录，含成份代码数组 + 成份名称数组 + 标的代码）。返回数组（非分页）。,无,无,0
34,ETF / 基金,ft_etf_description_all,获取全部 ETF 的基础信息（基金类型、托管人、流通份额、成立日期、管理人、是否两融、是否支持 T+0、跟踪指数信息等）。返回数组（非分页），底层来自 `ETF_DAILY` 内存快照，按 symbol 排序输出。,无,无,0
35,ETF / 基金,ft_etf_fund_export,智投 ETF 基金导出（HDFS CSV 主表 + 持仓明细）。返回单只 ETF 的完整档案：基础属性（代码/名称/类型/风险等级）、规模与净值（tot_asset/aum/nv）、各区间收益率（日/6 月/年/3 年/5 年/成立以来）、换手率系列（日/周/月/年）、申赎限额、近一年收益率、30 日月均量额，以及聚合块 `total_return`（收益率汇总）/ `top10_holdings`（前十大持仓明细）/ `fund_managers`（历任基金经理）/ `nav_growth_rate`（净值增长）...,request_id,"page, page_size, request_id",3
36,ETF / 基金,ft_etf_pcf_list_handler,获取指定交易日的 ETF PCF（申购赎回清单）文件列表，代理请求外部服务（如 xz04:20003）。返回 `EtfPcfListResponse`：分页元数据（total/page/page_size）+ items 列表，每项含 ETF 代码、日期、PCF 文件名。,date,"date, page, page_size",3
37,期货,ft_futures_contract_kline,"查询期货合约 K 线，返回 `KlineResponse{items,total}`。`symbol` 为 WIND 合约全码（如 `A2605.DCE`），store 会规范为点号前小写段。",symbol,"end, interval, limit, start, symbol",5
38,A股基础 / 行情,ft_get_bse_mapping,北交所新旧代码对照表接口。按旧代码 `o_code`（如 `838163.BJ`）或新代码 `n_code`（如 `920163.BJ`）查询映射关系。,无,"n_code, o_code",2
39,可转债 / 贵金属,ft_get_bullion_price,查询指定标的的贵金属行情（日期 + 值），按 `start_date`/`end_date` 区间分页返回 `PaginatedResponse<BullionPriceItem>`。handler 校验 `start_date`/`end_date` 区间跨度 ≤3 天（`validate_yyyymmdd_range_3_days`），由 `query_bullion_price` 查询 ClickHouse。,"symbol, start_date, end_date, page, page_size","end_date, page, page_size, start_date, symbol",5
40,可转债 / 贵金属,ft_get_bullion_support_symbol,查询贵金属支持的标的（标的代码、名称、单位、币种）。无入参，返回数组 `Vec<BullionSupportSymbol>`，由 `get_bullion_support_symbols` 返回内置清单。,无,无,0
41,资金 / 情绪 / 短线,ft_get_cashflow_stock_code,获取所有有现金流量表数据（`ashare_cashflow`）的股票代码与名称列表，**不分页**，一次返回全量。用于前端在调 `finance/cashflow` 前枚举可查询的标的。,无,无,0
42,可转债 / 贵金属,ft_get_cb_base_data_handler,按转债代码查询单只可转债基础信息（票面/付息/转股/赎回/上市等要素）。handler 校验 `symbol_code` 非空，命中返回单条 `CbBaseDataResponse`，未找到返回错误。,symbol_code,symbol_code,1
43,可转债 / 贵金属,ft_get_cb_lists_handler,获取可转债列表（债券全称、债券代码、正股代码、交易所）。无入参，返回 `CbListsResponse`。,无,无,0
44,期货,ft_get_china_futures_base_data_handler,查询指定交易日的期货合约要素（交易单位/最小变动价位/保证金/合约乘数/上市日/最后交易日/交割等）。不传 `trade_date` 默认前一交易日（CST）。,无,"symbol, trade_date",2
45,期货,ft_get_china_futures_lists_handler,查询指定交易日的期货合约列表（合约代码、交易所、品种、中文名称、合约类型）。不传 `trade_date` 默认前一交易日（CST）。,无,trade_date,1
46,其他,ft_get_company_hk,按 `trade_code` 查询港股公司介绍，返回单条 `CompanyHkResponse`（公司名/注册信息/法人/地址/简介/主营业务/员工数/联系方式等）。无分页，`trade_code` 必填，空值报 `trade_code is required`。,trade_code,trade_code,1
47,资金 / 情绪 / 短线,ft_get_eastmoney_dapan_flow,获取东方财富**大盘指数（沪深两市）日资金流**数据，含主力/超大单/大单/中单/小单四档净流入及净占比，以及上证/深证收盘价与涨跌幅。数据来源：东方财富，底表为 ClickHouse `basedata.dapan_daily_flow`。,无,"end_date, page, page_size, start_date, trade_date",5
48,期货,ft_get_eastmoney_futures_position,获取东方财富**期货每日成交持仓排行榜**数据，按合约/会员维度给出成交量、多头、空头、净多头、净空头的排名与持仓量及变化，含多头增/减仓、空头增/减仓排名，以及结算价、多头/空头平均价。数据来源：东方财富，底表为 ClickHouse `basedata.em_futures_daily_position`（多数字段 Nullable）。,无,"contract_code, end_date, exchange, member_name_abbr, page, page_size, start_date, trade_date, variety_code",9
49,港股 / 港股通 / AH,ft_get_eastmoney_hk_index_daily_kline,获取东方财富**港股指数日 K 线**数据（HSI 恒生指数、HSCEI 国企指数、HSTECH 恒生科技等），含开/收/高/低、成交量、成交额、振幅、涨跌幅/涨跌额、换手率。数据来源：东方财富，底表为 ClickHouse `basedata.em_hk_index_daily_kline`。,无,"end_date, index_code, page, page_size, start_date, trade_date",6
50,资金 / 情绪 / 短线,ft_get_eastmoney_market_valuation,获取东方财富**市场日估值**数据（指数/板块整体层面），含市盈率 TTM、总市值/流通市值、上市公司家数、收盘点位与涨跌幅等。数据来源：东方财富，底表为 ClickHouse `basedata.em_market_daily_valuation`（多数字段 Nullable）。,无,"end_date, market_code, page, page_size, start_date, trade_date",6
51,资金 / 情绪 / 短线,ft_get_eastmoney_sector_flow,获取东方财富**板块（行业/概念/地域）日资金流**数据，含主力/超大单/大单/中单/小单四档净流入及净占比。数据来源：东方财富，底表为 ClickHouse `basedata.sector_daily_flow`。,无,"end_date, page, page_size, sector_code, sector_type, start_date, trade_date",7
52,资金 / 情绪 / 短线,ft_get_eastmoney_stock_flow,获取东方财富**个股日资金流**数据，含主力/超大单/大单/中单/小单四档净流入及净占比，以及收盘价与涨跌幅。数据来源：东方财富，底表为 ClickHouse `basedata.stock_daily_flow`。,无,"end_date, page, page_size, start_date, symbol, trade_date",6
53,资金 / 情绪 / 短线,ft_get_eastmoney_stock_valuation,获取东方财富**个股日估值**数据，含市盈率（TTM/LYR）、市净率（MRQ）、市现率、市销率、PEG、总市值/流通市值、总股本/流通股本等。数据来源：东方财富，底表为 ClickHouse `basedata.em_stock_daily_valuation`（多数字段 Nullable）。,无,"end_date, page, page_size, start_date, symbol, trade_date",6
54,ETF / 基金,ft_get_etf_components_handler,根据标的代码查询单只 ETF 的成份股清单（成份代码数组 + 成份名称数组 + 标的代码）。与全量接口 `etf-components-all` 单条结构一致，未找到时由 API 层返回错误（404 语义）。,symbol,symbol,1
55,ETF / 基金,ft_get_etf_pre,获取指定交易日的全部 ETF 盘前信息（申赎单位、净值、现金差额、是否公布 IOPV、申赎允许情况、预估现金部分等）。不传 `date` 时使用当日（CST），当日数据缓存在内存。,无,date,1
56,ETF / 基金,ft_get_etf_pre_single_handler,根据标的代码查询单只 ETF 的盘前信息（申赎单位、净值、现金差额、是否公布 IOPV、申赎允许情况、预估现金部分等）。不传 `date` 时使用当日（CST），未找到时由 API 层返回错误（404 语义）。,symbol,"date, symbol",2
57,ETF / 基金,ft_get_fund_basicinfo,按基金代码查询基金基本信息（管理人/托管人/运作方式/投资目标/费率要素等静态档案）。handler 校验 `institution_code` 非空，命中返回单条 `FundBasicinfoResponse`，未命中返回错误。,institution_code,"institution_code, page, page_size",3
58,ETF / 基金,ft_get_fund_cal_return,按基金代码 + 区间类型查询基金累计收益率序列。handler 校验 `institution_code` 与 `cal_type` 非空，根据区间类型（1M/3M/6M/1Y/3Y/5Y/YTD）取复权单位净值序列计算累计收益率，返回数组（非分页）。,"institution_code, cal-type","cal-type, institution_code",2
59,ETF / 基金,ft_get_fund_nav,按基金代码分页查询基金净值序列（单位净值/累计净值/复权净值/日增长率/每万份收益/7日年化/申赎状态/分红配送）。返回 `PaginatedResponse<FundNavResponse>`，handler 校验 `institution_code` 非空，默认 `page=1`、`page_size=50`。,institution_code,"institution_code, page, page_size",3
60,ETF / 基金,ft_get_fund_overview,分页查询所有基金概览（近两个交易日单位/累计净值、日增长值与增长率、基金类别、申购状态）。返回 `PaginatedResponse<FundOverviewItem>`，数据由 `query_fund_overview` 查询，经 Redis 缓存。,"page, page_size","page, page_size",2
61,ETF / 基金,ft_get_fund_support_symbols,分页查询所有支持的基金标的（基金代码 + 基金名称）。返回 `PaginatedResponse<FundSupportSymbolItem>`，由 `query_fund_support_symbols` 查询 ClickHouse。,"page, page_size","page, page_size",2
62,港股 / 港股通 / AH,ft_get_hk_basinfo_get / get_hk_basinfo_post,按 `hk_code` 查询港股个股信息视图（基础信息 + 最新市值/估值合并视图），返回单条 `HkStockViewResponse`。字段含板块/上市状态/关联 A 股代码、总股本/总市值/港股市值、PE/PS/PB/PCF/股息率等（数值字段为 `f64`）。,hk_code,hk_code,1
63,港股 / 港股通 / AH,ft_get_hk_candlesticks,按 `trade_code` + 日期范围查询港股 K 线，返回 `HkCandlesticksResponse`（外层含 `trade_code` + `items` 数组）。底层来源表 `hkshareeodprices`。,"trade_code, interval_unit, until_date","adjust_kind, interval_unit, interval_value, limit, since_date, trade_code, until_date",7
64,港股 / 港股通 / AH,ft_get_hk_valuatnanalyd,港股估值分析分页查询，返回 `PaginatedResponse<HkStkValuatnAnalydItem>`。可按 `trade_code` 查指定个股全部交易日的估值序列，或留空查全市场分页。,无,"page, page_size, trade_code",3
65,其他,ft_get_market_cap_hk,按 `trade_code` 查询港股市值/估值分析最新一期数据，返回单条 `MarketCapHkResponse`。含总股本（= H 股 + A 股 + B 股股数）、总市值（= 总股本 × 收盘价）、港股市值/流通市值、静态/动态/滚动 PE、PS、PB、PCF、股息率等估值指标。,trade_code,trade_code,1
66,其他,ft_get_nth_trade_date,根据给定 N，返回当前日期向前第 N 个交易日（N >= 1）。基于底层交易日历过滤非交易日，返回当前日期与目标第 N 个交易日。,n,n,1
67,A股基础 / 行情,ft_get_price_change,单票 N 日涨跌幅接口。给定 `stock_code`、基准日 `base_date`、交易日数量 `n` 与方向 `direction`，自动过滤非交易日后计算区间涨跌幅。,"stock_code, base_date, n, direction","base_date, direction, n, stock_code",4
68,港股 / 港股通 / AH,ft_get_stk_ah_comparison,查询 AH 股比价分页数据，返回 `PaginatedResponse<StkAhComparisonItem>`。支持按 `hk_code`（港股）/`ts_code`（A 股）+ 单日或日期区间过滤，返回每对 A/H 标的的历史比价记录：含双方名称/收盘价/涨跌幅、A/H 比价（= A 股收盘价 / 港股收盘价）、A/H 溢价率（=（A/H − 1）× 100）。,无,"end_date, hk_code, page, page_size, start_date, trade_date, ts_code",7
69,新闻 / 公告 / 研报,ft_get_stock_institution_holdings,查询 A 股指定报告期机构持股汇总信息。按年份 + 报告期（`report_type`）+ 机构类型（`inst_type`）查询，返回各标的该报告期的机构持股汇总：机构总数、持股数量（万股）、市值（元）、增减仓类型/数量/比例等。,"year, report_type, inst_type","inst_type, page, page_size, report_type, year",5
70,新闻 / 公告 / 研报,ft_get_stock_institution_holdings_detail,查询 A 股单票机构持仓详细信息。按股票代码 + 年份 + 报告期 + 机构类型查询，返回该标的在指定报告期被各机构持仓的明细：机构名称、持股数量、市值、净值比例、流通比例、总股本比例等。,"stock_code, year, report_type, inst_type","inst_type, page, page_size, report_type, stock_code, year",6
71,新闻 / 公告 / 研报,ft_get_stock_institution_share_holdings,查询机构指定报告期机构持股汇总（机构角度）。按机构 ID + 年份 + 报告期 + 持仓类型查询，返回该机构在该报告期的持仓明细列表（持股数量、市值、净值/流通/总股本比例）、前 10 大持仓占比等。,"institution_id, year, report_type, invest_type","institution_id, invest_type, report_type, year",4
72,A股基础 / 行情,ft_get_stock_list,获取所有股票代码与名称列表。无入参，返回全量股票的代码（如 `000001.SZ`）与名称。,无,（无）,1
73,A股股东 / 股权 / 公司事件,ft_get_stock_share_handler,获取单票指定日期股本信息。返回该标的在指定日期的总股本、A 股流通/限售/无限售股本、B 股股本、H 股股本、境外上市股本、流通股本合计等字段。,"stock_code, date","date, stock_code",2
74,指数 / 行业 / 板块,ft_global_index_daily_kline,"获取全球指数（含部分 A 股/港股宽基）的**历史日K线**，返回 `{total, items}` 结构（非分页，按时间区间一次性返回）。每根 K 线含开高低收 + 成交量 + 成交额 + 振幅 + 涨跌幅 + 涨跌额 + 换手率，价格字符串形式。",secid,"end_date, secid, start_date",3
75,其他,ft_goodwill_industry,按报告期查询 A 股各行业的商誉汇总，返回每个行业的公司数、商誉规模、净资产、商誉占净资产比例、净利润规模。数据来源于 xz02 数据库商誉表。,date,"date, page, page_size",3
76,其他,ft_goodwill_market_overview,查询 A 股商誉市场总览，返回每个报告期的全市场商誉规模、商誉减值、净资产、商誉占净资产比例、减值占净资产比例、净利润规模、减值占净利润比例等总量指标。数据来源于 xz02 数据库商誉市场总览表。,无,（无业务参数）,1
77,其他,ft_goodwill_predict,按报告期查询 A 股个股商誉减值预期/业绩预告明细，返回业绩变动说明、预告期间、最新商誉、上期商誉、预告净利润下限/上限、业绩变动幅度下限/上限、上年同期净利润、公告日期、所属市场。数据来源于 xz02 数据库商誉预测表。,date,"date, page, page_size",3
78,其他,ft_goodwill_stock_detail,按报告期查询 A 股个股商誉明细，返回每只股票的商誉规模、商誉占净资产比例、净利润规模、净利润同比、上期商誉、公告日期、所属板块。数据来源于 xz02 数据库商誉明细表。,date,"date, page, page_size",3
79,其他,ft_goodwill_stock_impairment,按报告期查询 A 股个股商誉减值明细，返回每只股票的商誉规模、商誉变动、商誉占净资产比例、净利润规模、商誉减值占净利润比例、公告日期、所属板块。数据来源于 xz02 数据库商誉减值表。,date,"date, page, page_size",3
80,港股 / 港股通 / AH,ft_hk_cashflow,港股现金流量表分页查询，返回 `PaginatedResponse<HkCashflowItem>`。所有过滤条件可自由组合：`stock_code` 单独 → 查该股全部报告期；,无,"end_date, page, page_size, report_type, start_date, stock_code, year",7
81,港股 / 港股通 / AH,ft_hk_sh_stock_connect_members,获取沪市港股通成份列表（即通过上交所通道可买的港股标的）。无入参、无分页，返回内存快照 `Arc<[StockConnectMember]>`，每项仅含成份标的代码（`SymbolKey`）。,无,无,0
82,港股 / 港股通 / AH,ft_hk_sz_stock_connect_members,获取深市港股通成份列表（即通过深交所通道可买的港股标的）。无入参、无分页，返回内存快照 `Arc<[StockConnectMember]>`，每项仅含成份标的代码（`SymbolKey`）。,无,无,0
83,A股财务 / 业绩,ft_income,查询 A 股上市公司利润表数据，底表 `ashare_income`。返回**宽表**结构（每行一个报告期 + 多个财务科目列），数值字段为 `Option<Decimal>`，优先取「合并调整」报表类型，没有则取「合并未调整」。,无,"page, page_size, report_type, stock_code, year",5
84,指数 / 行业 / 板块,ft_index_description_all,获取全部指数的基础信息（全称、简称、市净率 PB、市盈率 TTM），返回**数组**（非分页）。覆盖沪深京三市全部指数，按 `symbol` 升序排列。,无,无,0
85,指数 / 行业 / 板块,ft_index_description_list_handler,分页获取中证系列指数（中证指数有限公司发布）的描述信息，含指数代码、来源机构（如「中证指数」）、指数名称、指数简介（编制说明文字）。返回**分页结构**：`total` 为指数总数，`index_descriptions` 为当页列表。,无,"page, page_size",2
86,指数 / 行业 / 板块,ft_index_weight_list_handler,分页获取单只中证系列指数某一期的**成份股权重明细**。返回**分页结构**，每项为一只成份股（`component_code` + `component_name`）在该期（`date`）的权重（`weight`，小数字符串）。,index_code,"date, index_code, page, page_size",4
87,指数 / 行业 / 板块,ft_index_weight_summary_handler,分页获取中证系列指数的**权重期数汇总**。返回**分页结构**，每项为一只指数（`index_code`）下所有可用的权重快照期数（`periods`），每个期数含采集 `date` 与 `url_hash`。,无,"page, page_size",2
88,资金 / 情绪 / 短线,ft_limit_down_pool,查询当日跌停股池。从内存涨跌停事件状态（`LIMIT_EVENT_MAP`）筛选 `limit_down_enter` 非空的股票，返回跌停相关字段：跌停价、进入跌停时间点数组、翘板时间数组、最后封板时间、开板（翘板）次数、跌停封单资金。,无,无,0
89,其他,ft_limit_event_timeline_3s,查询个股当日涨跌停事件 3 秒级时间线。每 3 秒将全市场涨跌停事件快照写入 ClickHouse，本接口读取内存中维护的最新涨跌停事件状态（`LIMIT_EVENT_MAP`），返回每只股票当日的涨跌停时间线：涨停价/跌停价、进入/炸板（涨停）/进入/翘板（跌停）时间点数组、首次封板/最后封板时间、炸板/开板次数、跌停封单资金等。,无,symbol,1
90,资金 / 情绪 / 短线,ft_limit_up_break_pool,查询当日炸板股池。从内存涨跌停事件状态（`LIMIT_EVENT_MAP`）筛选 `limit_up_break` 非空且当前状态非涨停（`status != limit_up`）的股票，即曾经封涨停但已被打开的标的，返回涨停相关字段。,无,无,0
91,资金 / 情绪 / 短线,ft_limit_up_pool,查询当日涨停股池。从内存涨跌停事件状态（`LIMIT_EVENT_MAP`）筛选 `limit_up_enter` 非空的股票，返回涨停相关字段：涨停价、进入涨停时间点数组、炸板时间数组、首次封板时间、炸板次数。,无,无,0
92,资金 / 情绪 / 短线,ft_limit_up_pool_yesterday,查询前一交易日涨停股池。取 `prev_trading_date`（前一交易日），从 ClickHouse 涨跌停事件表（`TABLE_TIMELINE`，FINAL）查询 `limit_up_enter` 非空的记录，返回结构与「涨停池」一致。,无,无,0
93,宏观经济,ft_lpr_monthly,查询中国贷款市场报价利率（LPR）月度汇总计算结果。按日期返回 LPR 1 年期利率（`file_id` = M00000553）与 5 年期利率（M00000554）的当日值。,无,无,0
94,期货,ft_major_contract,按签约日期区间查询 A 股上市公司披露的重大合同，返回合同双方、合同类型/名称、合同金额、占上年营收比例、签约日/披露日等。数据来源于东方财富（eastmoney）重大合同数据。,"start_date, end_date","end_date, start_date",2
95,期货,ft_major_contract_by_symbol,按证券代码（标的）查询该 A 股上市公司披露的重大合同，返回合同双方、合同类型/名称、合同金额、占上年营收比例、签约日/披露日等。数据来源于东方财富（eastmoney）重大合同数据。,symbol,"page, page_size, symbol",3
96,期货,ft_major_contract_summary,近一年 A 股上市公司重大合同汇总，按证券代码汇总该年度的合同笔数、合同金额合计、上一年金额合计、去年营收、营收占比、最新营收等。数据来源于东方财富（eastmoney）重大合同汇总数据。,无,"page, page_size",2
97,其他,ft_margin_trading_details,查询融资融券明细，按交易日返回全市场两融快照（每标的一行）。支持按 `date` 指定交易日；,无,"date, page, page_size",3
98,其他,ft_margin_trading_details_paginated,融资融券明细分页查询（v0 内部接口）。与 `margin_trading_details` 行为一致：传入 `date` 时读取文件中心当日 CSV，不传时回退内存 `MARGIN_TRADE` 快照；,无,"date, page, page_size",3
99,资金 / 情绪 / 短线,ft_northbound,查询北向资金（沪深股通）交易日交易数据。按交易日返回当日北向资金成交总额、币种，以及沪股通（SH）/ 深股通（SZ）分市场通道的成交额与成交笔数。,date,date,1
100,A股财务 / 业绩,ft_performance_forecasts_paginated,查询 A 股上市公司**业绩预告**数据，底表 `ashare_perf_fcst`（经 Redis 缓存）。每条记录是一个标的在一个报告期的预告：含预告类型（预增 / 预减 / 略增 / 略减 / 续亏 / 扭亏 / 续盈 等）、预测值上下限、同比变化上下限、去年同期值。,无,"page, page_size, report_type, stock_code, year",5
101,宏观经济,ft_reserve_ratio_monthly,查询中国人民币存款准备金率月度汇总计算结果。按日期返回中小型金融机构（`file_id` = M00000550）与大型金融机构（M00000549）的存款准备金率当月值。,无,无,0
102,A股基础 / 行情,ft_risk_warning_stock_quotes,查询指定交易日的风险警示股票名单及其实时行情。每项在「风险警示股」基础上 `flatten` 嵌入 `StockInfo`（实时行情快照），含最新价、开/高/低/前收、涨跌额/涨跌幅、成交量/成交额、均价、委比、多周期涨跌幅、涨停/跌停价及是否封板、市值、流通股本等。,date,date,1
103,A股基础 / 行情,ft_risk_warning_stocks,查询指定交易日的风险警示股票基础名单（ST/*ST 等）。返回当日风险警示股票的代码、名称、风险类型标签。,date,date,1
104,新闻 / 公告 / 研报,ft_semantic_search_news_handler,语义搜索新闻接口。根据搜索文字 `query` 转调外部语义检索服务，返回相关新闻列表。,query,"end_time, limit, query, start_time, year",5
